VIDEO_ID,KEYWORD_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
홍지_hongji_20250417,1,소금빵 좋아하는데 여길 모른다?인생 손해🥲 #asmr #mukbang #asmrmukbang #먹방 #소금빵 #saltbread #빵지순례 #강릉카페 #빵맛집 #소금빵맛집,,홍지 HONGJI,2025-04-17,PT1M32S,2747,77,12,youtube
홍지_hongji_20250415,1,일본에서 안 먹으면 손해보는 아이스크림🍦 #asmr #mukbang #asmrmukbang #먹방 #일본편의점 #편의점간식 #아이스크림 #초코 #lawson #icecream,,홍지 HONGJI,2025-04-15,PT1M10S,700,19,6,youtube
홍지_hongji_20250413,1,치즈듬뿍 까르보 불닭볶음면🔥 #asmr #mukbang #asmrmukbang #먹방 #buldak #불닭볶음면 #koreanfood #cheese #치즈 #spicyfood,,홍지 HONGJI,2025-04-13,PT1M37S,596,20,12,youtube
홍지_hongji_20250412,1,미국에서 사온 스노볼🩷 #asmr #mukbang #asmrmukbang #먹방 #미국간식 #snoballs #스노볼 #마시멜로 #초코디저트 #디저트 #dessert,,홍지 HONGJI,2025-04-12,PT1M37S,664,20,9,youtube
홍지_hongji_20250410,1,일본 패밀리마트는 유명한 치킨 맛집입니다🍗 #asmr #mukbang #asmrmukbang #먹방 #일본편의점 #familymart #편의점 #치킨 #chicken #야식,,홍지 HONGJI,2025-04-10,PT1M15S,680,19,7,youtube
홍지_hongji_20250409,1,미국언냐들이 먹던 개쩌는 초코케이크🍫 #asmr #mukbang #asmrmukbang #먹방 #초코케이크  #마카롱 #두바이초콜릿 #chocolate #cake #macaron,,홍지 HONGJI,2025-04-09,PT1M44S,565,12,5,youtube
홍지_hongji_20250408,1,삿포로 빵쇼핑 대성공 알고보니 맛집이잖아? #asmr #mukbang #asmrmukbang #먹방 #일본빵집 #빵지순례 #삿포로카페 #훗카이도 #hokkaido #sapporo,,홍지 HONGJI,2025-04-08,PT1M40S,1812,17,9,youtube
홍지_hongji_20250406,1,왕 큰 베이글샌드에 크림 대신 크림치즈🥯 #asmr #mukbang #asmrmukbang #먹방 #빵지순례 #허대빵 #베이글 #베이글샌드 #크림치즈 #부산빵집 #부산빵지순례,,홍지 HONGJI,2025-04-06,PT1M37S,4899,47,8,youtube
홍지_hongji_20250402,1,궁금했던 여수언니표 요아정 떡버전?! #asmr #mukbang #asmrmukbang #먹방 #여수언니 #봄날의떡 #찹쌀떡 #모찌 #koreandessert #Ricecake,,홍지 HONGJI,2025-04-02,PT1M26S,801,20,7,youtube
홍지_hongji_20250331,1,이 집은 쫀득빵만 잘하는 게 아니거든요..? #asmr #mukbang #asmrmukbang #먹방 #빵지순례 #허대빵 #떠먹크치 #떠먹케 #부산빵집 #부산빵지순례 #빵택배,,홍지 HONGJI,2025-03-31,PT1M31S,1882,35,7,youtube
홍지_hongji_20250329,1,제주도에서 이 떡을 왜 안 사와!!! #asmr #mukbang #asmrmukbang #먹방 #디저트맛집 #크림떡 #찹쌀떡 #떡먹방 #Ricecake #koreandessert,,홍지 HONGJI,2025-03-29,PT1M31S,1813,62,9,youtube
